DistID,District,Bedrooms,Bathrooms,Price,Size,Url
7,Chamberí,3,2,1600000,220,http://www.idealista.com/38941121
20,San Blas,2,2,169900,90,http://www.idealista.com/34470509
16,Hortaleza,2,2,450000,115,http://www.idealista.com/38667077
4,Salamanca,3,3,1250000,269,http://www.idealista.com/33717065
9,Moncloa,4,5,860000,204,http://www.idealista.com/38778813
7,Chamberí,3,2,1225000,124,http://www.idealista.com/38745212
4,Salamanca,4,3,1150000,275,http://www.idealista.com/34893923
3,Retiro,4,2,1830000,194,http://www.idealista.com/38906448
16,Hortaleza,3,2,645000,212,http://www.idealista.com/37964688
7,Chamberí,5,3,1350000,290,http://www.idealista.com/35804304
9,Moncloa,5,5,1675000,333,http://www.idealista.com/38703516
15,Ciudad Lineal,5,3,1200000,274,http://www.idealista.com/38223603
16,Hortaleza,6,4,1900000,580,http://www.idealista.com/38082574
7,Chamberí,7,4,1450000,357,http://www.idealista.com/35734717
7,Chamberí,5,4,3000000,428,http://www.idealista.com/38623416
5,Chamartín,3,2,950000,166,http://www.idealista.com/38566517
5,Chamartín,4,4,990000,220,http://www.idealista.com/38492157
4,Salamanca,4,3,1100000,190,http://www.idealista.com/38302795
1,Centro,7,4,1600000,372,http://www.idealista.com/38060889
4,Salamanca,3,3,1495000,185,http://www.idealista.com/37878623
4,Salamanca,3,2,590000,106,http://www.idealista.com/37805029
5,Chamartín,5,5,2200000,310,http://www.idealista.com/31097692
7,Chamberí,4,5,1750000,227,http://www.idealista.com/38108578
4,Salamanca,4,4,1950000,241,http://www.idealista.com/38556505
15,Ciudad Lineal,3,1,135900,60,http://www.idealista.com/37665502
4,Salamanca,2,3,1700000,145,http://www.idealista.com/38328094
4,Salamanca,4,3,1250000,223,http://www.idealista.com/38845487
7,Chamberí,3,2,775000,160,http://www.idealista.com/38537344
4,Salamanca,4,4,1975000,287,http://www.idealista.com/38440561
7,Chamberí,5,2,1150000,160,http://www.idealista.com/38153157
9,Moncloa,4,4,810000,225,http://www.idealista.com/38147765
9,Moncloa,5,5,1050000,370,http://www.idealista.com/38011045
16,Hortaleza,3,2,840000,240,http://www.idealista.com/37963143
20,San Blas,3,2,366000,110,http://www.idealista.com/38657146
6,Tetuán,3,2,1170000,191,http://www.idealista.com/38163600
16,Hortaleza,4,3,1230000,350,http://www.idealista.com/38489428
16,Hortaleza,4,4,1950000,431,http://www.idealista.com/38106840
3,Retiro,3,3,1500000,175,http://www.idealista.com/38428069
5,Chamartín,5,4,1500000,330,http://www.idealista.com/36178679
9,Moncloa,5,5,1780000,300,http://www.idealista.com/36141062
9,Moncloa,5,5,1045000,370,http://www.idealista.com/34266869
8,Fuencarral,4,3,660000,161,http://www.idealista.com/38952188
4,Salamanca,4,4,1800000,253,http://www.idealista.com/38056803
7,Chamberí,2,3,690000,135,http://www.idealista.com/37794817
5,Chamartín,7,5,1500000,315,http://www.idealista.com/38539875
5,Chamartín,5,3,1350000,200,http://www.idealista.com/37564213
5,Chamartín,5,5,2000000,311,http://www.idealista.com/32549836
1,Centro,3,1,650000,103,http://www.idealista.com/38925515
5,Chamartín,4,3,850000,190,http://www.idealista.com/38771495
5,Chamartín,4,3,1190000,286,http://www.idealista.com/38760994
5,Chamartín,5,4,2800000,360,http://www.idealista.com/38741366
5,Chamartín,6,5,2450000,400,http://www.idealista.com/38678834
1,Centro,5,5,1565000,269,http://www.idealista.com/38678807
5,Chamartín,2,1,465000,100,http://www.idealista.com/36652887
3,Retiro,2,2,480000,113,http://www.idealista.com/37993090
7,Chamberí,2,2,680000,115,http://www.idealista.com/37136107
16,Hortaleza,5,5,2100000,753,http://www.idealista.com/37599578
1,Centro,6,2,1595000,270,http://www.idealista.com/34701151
7,Chamberí,6,5,2550000,370,http://www.idealista.com/37277515
7,Chamberí,4,3,895000,216,http://www.idealista.com/38620150
16,Hortaleza,4,3,825000,241,http://www.idealista.com/37779011
4,Salamanca,6,5,3100000,490,http://www.idealista.com/38484833
7,Chamberí,3,4,1800000,400,http://www.idealista.com/973246
9,Moncloa,7,4,950000,420,http://www.idealista.com/31252693
9,Moncloa,7,5,2300000,1362,http://www.idealista.com/38131446
9,Moncloa,6,5,890000,380,http://www.idealista.com/37380964
9,Moncloa,7,7,2300000,750,http://www.idealista.com/28726610
9,Moncloa,6,6,1590000,650,http://www.idealista.com/36949956
5,Chamartín,6,4,1600000,317,http://www.idealista.com/36873324
5,Chamartín,4,4,2350000,300,http://www.idealista.com/36682029
9,Moncloa,6,6,2990000,700,http://www.idealista.com/32071975
5,Chamartín,5,2,2600000,512,http://www.idealista.com/35908218
5,Chamartín,2,1,1150000,100,http://www.idealista.com/35847125
9,Moncloa,5,5,2000000,408,http://www.idealista.com/35297425
5,Chamartín,4,3,1450000,317,http://www.idealista.com/34716981
9,Moncloa,5,6,2650000,600,http://www.idealista.com/33877380
4,Salamanca,5,4,1250000,272,http://www.idealista.com/32215946
5,Chamartín,2,1,1200000,150,http://www.idealista.com/29657867
1,Centro,1,1,314000,67,http://www.idealista.com/37330698
4,Salamanca,4,3,1150000,193,http://www.idealista.com/32510134
7,Chamberí,5,5,3300000,414,http://www.idealista.com/38058207
9,Moncloa,4,5,795000,220,http://www.idealista.com/31818022
4,Salamanca,6,6,3600000,478,http://www.idealista.com/31685798
1,Centro,3,1,415000,100,http://www.idealista.com/38485650
7,Chamberí,3,2,1095000,220,http://www.idealista.com/32820025
4,Salamanca,4,3,1650000,236,http://www.idealista.com/28809252
1,Centro,3,2,683000,160,http://www.idealista.com/38702422
8,Fuencarral,4,3,560000,151,http://www.idealista.com/37143963
